stim_path,face_path,Valence,ITI,ISI,TrialLen,TrialLenSec,TrialLenSum,face_gender
./stims/pls_05_h.jpg,./faces/30A.jpg,positive,9000,2017,15517,15.517,1074.667,m
./stims/thr_14_l.jpg,./faces/40A.jpg,negative,9000,2117,15617,15.617,1090.284,m
./stims/pls_08_c.jpg,./faces/31A.jpg,positive,9000,2167,15667,15.667,1105.951,m
./stims/suf_14_g.jpg,./faces/11A.jpg,negative,9000,2833,16333,16.333,1122.284,f
./stims/pls_14_l.jpg,./faces/18A.jpg,positive,9000,2550,16050,16.05,1138.334,f
./stims/thr_03_d.jpg,./faces/43A.jpg,negative,9000,2883,16383,16.383,1154.717,m
./stims/pln_14_h.jpg,./faces/7A.jpg,positive,9000,2317,15817,15.817,1170.534,f
./stims/thr_05_g.jpg,./faces/21A.jpg,negative,9000,2167,15667,15.667,1186.201,f
./stims/pls_13_g.jpg,./faces/48A.jpg,positive,9000,2950,16450,16.45,1202.651,m
./stims/pln_16_f.jpg,./faces/44A.jpg,positive,9000,2050,15550,15.55,1218.201,f
./stims/suf_02_e.jpg,./faces/13A.jpg,negative,9000,2983,16483,16.483,1234.684,f
./stims/thr_14_j.jpg,./faces/49A.jpg,negative,9000,2717,16217,16.217,1250.901,m
./stims/hrm_15_a.jpg,./faces/39A.jpg,negative,9000,2600,16100,16.1,1267.001,m
./stims/pls_05_k.jpg,./faces/47A.jpg,positive,9000,2667,16167,16.167,1283.168,m
./stims/pln_03_i.jpg,./faces/20A.jpg,positive,9000,2333,15833,15.833,1299.001,f
./stims/suf_14_f.jpg,./faces/17A.jpg,negative,9000,2817,16317,16.317,1315.318,f
./stims/pls_08_b.jpg,./faces/6A.jpg,positive,9000,2783,16283,16.283,1331.601,f
./stims/pls_12_h.jpg,./faces/35A.jpg,positive,9000,2817,16317,16.317,1347.918,m
./stims/hrm_15_g.jpg,./faces/1A.jpg,negative,9000,2817,16317,16.317,1364.235,f
./stims/thr_14_f.jpg,./faces/19A.jpg,negative,9000,2467,15967,15.967,1380.202,f
./stims/pln_16_c.jpg,./faces/50A.jpg,positive,9000,2367,15867,15.867,1396.069,m
./stims/pls_05_f.jpg,./faces/38A.jpg,positive,9000,2533,16033,16.033,1412.102,m
